FRASES;ARG1;REL;ARG2;Estrutura ARG1;Estrutura relacionador;Estrutura ARG2;status;;;;;;;;;;;;;;;;;;
"O porto mais próximo do continente é o Namibe, no sul de Angola, e o aeroporto internacional mais próximo é o Aeroporto Quatro de Fevereiro, capital de Angola, Luanda; as conexões com a Cidade do Cabo, na África do Sul, são usadas para a maioria das necessidades de remessa, como o barco de correio que serve a ilha, o RMS St Helena."": {";o aeroporto internacional mais próximo;é;o Aeroporto Quatro de Fevereiro, capital de Angola, Luanda;Det N adj adv adj;V;Det N N ADP N punct N ADP PropN punct PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1840, Santa Helena tornou-se uma estação de abastecimento do Esquadrão Britânico da África Ocidental, impedindo a escravidão no Brasil (principalmente), e muitos milhares de escravos foram libertados na ilha."": {";Santa Helena;tornou-se; uma estação de abastecimento de o Esquadrão Britânico de a África Ocidental;PropN;N Pron;det N ADP adv ADP det N adj ADP det PropN adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1840, Santa Helena tornou-se uma estação de abastecimento do Esquadrão Britânico da África Ocidental, impedindo a escravidão no Brasil (principalmente), e muitos milhares de escravos foram libertados na ilha."": {";muitos milhares de escravos;foram;libertos na ilha;adv N ADP adj;V;adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A maioria dos residentes pertence à Comunhão Anglicana e é membro da Diocese de Santa Helena, que tem seu próprio bispo e inclui a Ilha da Ascensão.;A maioria de os residentes; pertence a;a Comunhão Anglicana;Det N ADP det N;V ADP;det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A SURE fornece o serviço de telecomunicações no território por meio de uma rede telefônica digital baseada em cobre, incluindo serviço de banda larga ADSL.;A SURE;fornece ;o serviço de telecomunicações;Det Pron;V;det N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Santa Helena tem o código de chamada internacional +290 que, desde 2006, compartilha Tristan da Cunha.;Santa Helena;tem; o código de chamada +290 ;PropN;V;det N ADP N punct Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
As despesas públicas aumentaram de 10 milhões de libras em 2001-02 para 12 milhões de libras em 2005-06 para 28 milhões de libras em 2012-13.;As despesas públicas ; aumentaram ;de 10 milhões de libras em 2001-02 para 12 milhões de libras em 2005-06;Det N adj;V;ADP Num N ADP N ADP Num punct Num ADP Num N ADP N ADP Num punct Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
A Rádio comunitária Saint FM assumiu os canais de rádio desocupados pela Saint FM e foi lançada em 10 de março de 2013.;Rádio comunitária saint fm ;assumiu; os canais de rádio desocupados pela Saint FM;N adj adj PropN;V;Det N ADP N adj ADP N Pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Em Wahgi, as consoantes são aspiradas apenas na posição final.;As consoantes; são ;aspiradas apenas na posição final;Det N;V ;N ADP det N adj ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O termo aspiração às vezes se refere à mudança sonora da desescalização, na qual uma consoante é lenitizada (enfraquecida) para se tornar uma parada glótica ou fricativa [ʔ h ɦ].;O termo aspiração a as vezes ;se refere a;mudança sonora da desescalização;Det N N ADP det N;pron V ADP;N adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O termo aspiração às vezes se refere à mudança sonora da desescalização, na qual uma consoante é lenitizada (enfraquecida) para se tornar uma parada glótica ou fricativa [ʔ h ɦ].;uma consoante;é;lenitizada (enfraquecida) para se tornar uma parada gótica ou fricativa;Det N;V;part punct adj punct ADP pron v det N adj conj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O Punjabi perdeu os consoantes de voz ofegante, o que resultou em um sistema de tons e, portanto, faz uma distinção entre sem voz, aspirado e sonoro / p pʰ b /.;O Punjabi;perdeu;os consoantes de voz ofegante;N;V;det N ADP N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"À temperatura e pressão padrão, o gás hidrogênio contém cerca de 25% da forma para e 75% da forma orto, também conhecida como \""forma normal\";o gás oxigênio ;contém ;cerca de 25% de a forma;det N adj;V;adv ADP Num punct ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O estudo de suas propriedades é conhecido como química orgânica e seu estudo no contexto de organismos vivos é conhecido como bioquímica."": {";O estudo de suas propriedades;é ;como química orgânica ;det N ADP poss N;V ;conj N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na química inorgânica, os hidretos também podem servir como ligantes de ponte que ligam dois centros metálicos em um complexo de coordenação."": {";os hidretos ;também podem;servir como ligantes de ponte;Det adj ;V;v conj N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na química inorgânica, os hidretos também podem servir como ligantes de ponte que ligam dois centros metálicos em um complexo de coordenação."": {";os hidretos também ;podem;servir como ligantes de ponte;det N adv;V;v conj N ADP N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Os símbolos D e T (em vez de 2H e 3H) às vezes são usados para deutério e trítio, mas o símbolo correspondente para o protium, P, já está em uso para o fósforo e, portanto, não está disponível para o protium."": {";Os símbolos D e T (em vez de 2H e 3H) as vezes;são ;usados para deutério e trítio;Det N pron conj pron punct ADP N ADP Num pron conj Num pron;V;V ADP N conj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Em 1671, Robert Boyle descobriu e descreveu a reação entre limalhas de ferro e ácidos diluídos, o que resulta na produção de gás hidrogênio."": {";Robert boyle;descobriu;e descreveu a reação entre llimalhas de ferro e ácidos diluídos;PropN;V;conj V det N ADP N ADP N conj N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Maxwell observou que a capacidade térmica específica do H2 se afasta inexplicavelmente da de um gás diatômico abaixo da temperatura ambiente e começa a se assemelhar cada vez mais à de um gás monatômico a temperaturas criogênicas."": {";Maxwell;observou;a capacidade térmica específica de o H2;Pron ;V;Det N adj adj ADP det Pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O hidrogênio, como H atômico, é o elemento químico mais abundante no universo, constituindo 75% da matéria normal em massa e mais de 90% em número de átomos (a maior parte da massa do universo, porém, não está na forma de matéria do tipo elemento químico, mas postula-se que ocorra como formas de massa ainda não detectadas, como matéria escura e energia escura)."": {";O Hidrogênio;é;o elemento químico mais abundante no universo;Det N;V;det N adj adv adj ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Uma corrente de baixa tensão é percorrida pela água e o oxigênio gasoso se forma no ânodo, enquanto o hidrogênio gasoso se forma no cátodo."": {";O hidrogênio gasoso;se forma ;em o cátoco;Det N adj;pron V;ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Uma corrente de baixa tensão é percorrida pela água e o oxigênio gasoso se forma no ânodo, enquanto o hidrogênio gasoso se forma no cátodo."": {";o oxigênio gasoso;se forma ;em o ânodo;Det N adj;pron V;ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A divisão da água, na qual a água é decomposta em seus componentes prótons, elétrons e oxigênio, ocorre nas reações de luz em todos os organismos fotossintéticos."": {";A divisão da água;ocorre em;as reações de luz em todos os organismos fotossintéticos;Det N ADP det N;V;Det N ADP N ADP pron det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A divisão da água, na qual a água é decomposta em seus componentes prótons, elétrons e oxigênio, ocorre nas reações de luz em todos os organismos fotossintéticos."": {";A divisão da água;ocorre em as reações de;luz em todos os organismos fotossintéticos;Det N ADP det N;V ADP det N ADP;N ADP pron det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A divisão da água, na qual a água é decomposta em seus componentes prótons, elétrons e oxigênio, ocorre nas reações de luz em todos os organismos fotossintéticos."": {";A divisão da água;ocorre em as reações de luz em;luz em todos os organismos fotossintéticos;Det N ADP det N;V ADP det N ADP N ADP;Det ADP pron det N adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A divisão da água, na qual a água é decomposta em seus componentes prótons, elétrons e oxigênio, ocorre nas reações de luz em todos os organismos fotossintéticos."": {";a água;é;decomposta em seus componentes prótons, elétrons e oxigênio;Det N;V;V ADP poss adj N punct N conj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Andreessen, líder da equipe Mosaic no Centro Nacional de Aplicações de Supercomputação (NCSA), logo fundou sua própria empresa, chamada Netscape, e lançou o Netscape Navigator, influenciado pelo Mosaic, em 1994, que rapidamente se tornou o navegador mais popular do mundo, respondendo por 90 % de todo o uso da Web no auge (consulte a participação de navegadores na Web)."": {";Andreessen;fundou;sua própria empresa;PropN;V;poss adj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
No Opera, é incluído um leitor de feeds mais tradicional que armazena e exibe o conteúdo do feed.;No ópera; é;incluído um leitor de feeds mais tradicional;Det N;V;adj det N ADP N adv adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Navegadores da web modernos oferecem suporte a uma combinação de HTML e XHTML baseados em padrões e de fato, que devem ser renderizados da mesma maneira por todos os navegadores."": {";Navegadores da web modernos;oferecem;suporte a uma combinação de HTML e XHTML;N ADP dey N adj;V;N ADP det N ADP Pron conj Pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O principal objetivo de um navegador da web é trazer recursos de informação para o usuário (\""recuperação\"" ou \""busca\""), permitindo que eles visualizem as informações (\""exibição\"", \""renderização\"") e acessem outras informações (\""navegação\"" , \""seguindo links\"")."": {";O principal objetivo de um navegador da web ;é; trazer recursos de informação para o usuário;Det N N ADP det N ADP det pron;V;v N ADP N ADP det N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
Boston (pronuncia-se i / ˈbɒstən /) é a capital e maior cidade da Commonwealth of Massachusetts nos Estados Unidos.;Boston;é;A capital e maior cidade da Commonwealth of massachusetts;PropN;V;Det N conj adv N ADP det PropN ADP PropN ;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
 Sua rica história atrai muitos turistas, com o Faneuil Hall atraindo mais de 20 milhões de visitantes por ano.;Sua rica história;atrai;muitos turistas;Poss adj N;V;Adv N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na época em que Boston foi fretada como cidade, a população era de 46.226 habitantes, enquanto a área da cidade era de apenas 12 km2."": {";Boston;foi;fretada como cidade;PropN;V;part conj N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na época em que Boston foi fretada como cidade, a população era de 46.226 habitantes, enquanto a área da cidade era de apenas 12 km2."": {";A área de a cidade;era;de apenas 12 km2;Det N ADP det N;V;ADP adv Num pron Num;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"Na época em que Boston foi fretada como cidade, a população era de 46.226 habitantes, enquanto a área da cidade era de apenas 12 km2."": {";A população;era;de apenas 46.226 habitantes;Det N;V;Prep adv Num adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O rio Charles separa Boston de Watertown e a maioria de Cambridge, e a massa de Boston de seu próprio bairro de Charlestown.;O rio charles;separa;Boston de Watertown;Det N PropN;V;PropN ADP PropN;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O mês mais frio é janeiro, com uma média de 29,0 ° F (-1,7 ° C).;O mês mais frio;é;janeiro;Det N adv N;V;N;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
O mês mais frio é janeiro, com uma média de 29,0 ° F (-1,7 ° C).;O mês mais frio;é; janeiro, com uma média de 29,0 ° F ;Det N adv N;V;N punct ADP det N det Num punct num punct pron;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"A cidade tem uma população judaica considerável, com cerca de 25.000 judeus na cidade e 227.000 na área metropolitana de Boston; o número de congregações em Boston é estimado em 22";A cidade;tem;uma população judaica considerável;Det N;V;det N adj adj;EXTRAÇÃO SUGERIDA;;;;;;;;;;;;;;;;;;
"O Instituto de Tecnologia de Massachusetts (MIT), que se originou em Boston e era conhecido como \""Boston Tech\"", mudou-se do outro lado do rio para Cambridge em 1916.";O mit;conhecido;Boston Tech;Det PropN;V;PropN;;;;;;;;;;;;;;;;;;;
"O Boston Red Sox, membro fundador da Liga Americana de Major League Baseball em 1901, joga seus jogos em casa no Fenway Park, perto de Kenmore Square, na seção Fenway da cidade."": {";Boston red sox;joga;seus jogos no Fenway Park;PropN;V;poss N ADP det PropN;EXTRAÇÃO VÁLIDA;;;;;;;;;;;;;;;;;;
